x_m,shear_N,moment_Nm
0.0,600.0,0.0
0.02,600.0,12.0
0.04,600.0,24.0
0.06,600.0,36.0
0.08,600.0,48.0
0.1,600.0,60.0
0.12,600.0,72.0
0.14,600.0,84.00000000000001
0.16,600.0,96.0
0.18,600.0,108.0
0.2,600.0,120.0
0.22,600.0,132.0
0.24,600.0,144.0
0.26,600.0,156.0
0.28,600.0,168.00000000000003
0.3,600.0,180.0
0.32,600.0,192.0
0.34,600.0,204.00000000000003
0.36,600.0,216.0
0.38,600.0,228.0
0.4,600.0,240.0
0.4,-400.0,240.0
0.42,-400.0,232.00000000000003
0.44,-400.0,224.00000000000003
0.46,-400.0,216.0
0.48,-400.0,208.00000000000006
0.5,-400.0,200.00000000000003
0.52,-400.0,192.0
0.54,-400.0,184.0
0.56,-400.0,176.00000000000003
0.58,-400.0,168.00000000000006
0.6,-400.0,160.00000000000006
0.62,-400.0,152.00000000000003
0.64,-400.0,144.0
0.66,-400.0,136.0
0.68,-400.0,128.00000000000006
0.7,-400.0,120.00000000000006
0.72,-400.0,112.00000000000006
0.74,-400.0,104.00000000000006
0.76,-400.0,96.0
0.78,-400.0,88.0
0.8,-400.0,80.0
0.82,-400.0,72.0
0.84,-400.0,64.00000000000006
0.86,-400.0,56.00000000000006
0.88,-400.0,48.0
0.9,-400.0,40.0
0.92,-400.0,32.0
0.94,-400.0,24.000000000000114
0.96,-400.0,16.000000000000114
0.98,-400.0,8.0
1.0,-400.0,0.0
