x_m,mechanical_mm,thermal_mm,total_mm
0.0,0.0,0.0,0.0
0.01,0.012814407656352283,0.0092,0.022014407656352285
0.02,0.025628815312704566,0.0184,0.04402881531270457
0.03,0.03844322296905685,0.0276,0.06604322296905685
0.04,0.05125763062540913,0.0368,0.08805763062540914
0.05,0.06407203828176142,0.046000000000000006,0.11007203828176143
0.06,0.0768864459381137,0.0552,0.1320864459381137
0.07,0.08970085359446599,0.06440000000000001,0.15410085359446601
0.08,0.10251526125081827,0.0736,0.17611526125081828
0.09,0.11532966890717054,0.0828,0.19812966890717054
0.1,0.12814407656352284,0.09200000000000001,0.22014407656352286
0.11,0.1409584842198751,0.1012,0.24215848421987513
0.12,0.1537728918762274,0.1104,0.2641728918762274
0.13,0.16658729953257967,0.11960000000000001,0.2861872995325797
0.14,0.17940170718893197,0.12880000000000003,0.30820170718893203
0.15,0.19221611484528422,0.138,0.33021611484528424
0.16,0.20503052250163653,0.1472,0.35223052250163656
0.17,0.2178449301579888,0.1564,0.3742449301579889
0.18,0.2306593378143411,0.1656,0.3962593378143411
0.19,0.24347374547069336,0.1748,0.4182737454706934
0.2,0.25628815312704567,0.18400000000000002,0.4402881531270457
0.21,0.26910256078339795,0.1932,0.46230256078339793
0.22,0.2819169684397502,0.2024,0.48431696843975025
0.23,0.2947313760961025,0.2116,0.5063313760961026
0.24,0.3075457837524548,0.2208,0.5283457837524548
0.25,0.32036019140880706,0.23,0.5503601914088071
0.26,0.33317459906515934,0.23920000000000002,0.5723745990651594
0.27,0.34598900672151167,0.24840000000000004,0.5943890067215117
0.28,0.35880341437786395,0.25760000000000005,0.6164034143778641
0.29,0.37161782203421617,0.2668,0.6384178220342162
0.3,0.38443222969056845,0.276,0.6604322296905685
0.31,0.39724663734692073,0.2852,0.6824466373469208
0.32,0.41006104500327306,0.2944,0.7044610450032731
0.33,0.42287545265962534,0.30360000000000004,0.7264754526596254
0.34,0.4356898603159776,0.3128,0.7484898603159778
0.35,0.44850426797232984,0.322,0.7705042679723298
0.36,0.4613186756286822,0.3312,0.7925186756286822
0.37,0.47413308328503445,0.34040000000000004,0.8145330832850345
0.38,0.48694749094138673,0.3496,0.8365474909413868
0.39,0.499761898597739,0.3588,0.8585618985977391
0.4,0.5125763062540913,0.36800000000000005,0.8805763062540914
0.41,0.5253907139104436,0.3772,0.9025907139104435
0.42,0.5382051215667959,0.3864,0.9246051215667959
0.43,0.5510195292231481,0.3956,0.9466195292231482
0.44,0.5638339368795005,0.4048,0.9686339368795005
0.45,0.5766483445358527,0.41400000000000003,0.9906483445358528
0.46,0.589462752192205,0.4232,1.0126627521922051
0.47,0.6022771598485572,0.4324,1.0346771598485573
0.48,0.6150915675049096,0.4416,1.0566915675049096
0.49,0.6279059751612618,0.45080000000000003,1.078705975161262
0.5,0.6407203828176141,0.46,1.1007203828176142
