temperature_change_K,rod1_force_N,rod2_force_N
0.0,6589.785831960461,3410.2141680395384
1.0,6739.835255354202,3260.1647446457996
2.0,6889.884678747942,3110.11532125206
3.0,7039.934102141679,2960.065897858319
4.0,7189.98352553542,2810.0164744645795
5.0,7340.03294892916,2659.96705107084
6.0,7490.082372322898,2509.9176276771004
7.0,7640.131795716638,2359.8682042833607
8.0,7790.181219110379,2209.8187808896214
9.0,7940.23064250412,2059.769357495882
10.0,8090.280065897859,1909.7199341021415
11.0,8240.329489291596,1759.6705107084006
12.0,8390.378912685339,1609.621087314663
13.0,8540.42833607908,1459.5716639209234
14.0,8690.477759472817,1309.5222405271825
15.0,8840.527182866557,1159.4728171334439
16.0,8990.576606260296,1009.4233937397031
17.0,9140.626029654037,859.3739703459634
18.0,9290.675453047777,709.3245469522248
19.0,9440.724876441516,559.275123558485
20.0,9590.774299835255,409.2257001647442
21.0,9740.823723228996,259.1762767710056
22.0,9890.873146622733,109.12685337726361
23.0,10040.922570016477,-40.92257001647273
24.0,10190.971993410214,-190.97199341021357
25.0,10341.021416803951,-341.0214168039544
26.0,10491.070840197699,-491.07084019769076
27.0,10641.120263591432,-641.1202635914339
28.0,10791.169686985175,-791.1696869851725
29.0,10941.219110378914,-941.2191103789111
30.0,11091.26853377265,-1091.2685337726518
31.0,11241.317957166395,-1241.3179571663904
32.0,11391.367380560128,-1391.3673805601336
33.0,11541.416803953874,-1541.41680395387
34.0,11691.466227347613,-1691.4662273476108
35.0,11841.51565074135,-1841.5156507413517
36.0,11991.565074135091,-1991.5650741350903
37.0,12141.614497528832,-2141.614497528829
38.0,12291.663920922569,-2291.6639209225696
39.0,12441.71334431631,-2441.7133443163107
40.0,12591.76276771005,-2591.762767710049
41.0,12741.812191103789,-2741.8121911037897
42.0,12891.861614497531,-2891.8616144975263
43.0,13041.911037891272,-3041.911037891269
44.0,13191.960461285007,-3191.9604612850103
45.0,13342.009884678746,-3342.0098846787464
46.0,13492.059308072487,-3492.0593080724875
47.0,13642.108731466229,-3642.1087314662236
48.0,13792.15815485997,-3792.1581548599647
49.0,13942.207578253709,-3942.2075782537054
50.0,14092.257001647444,-4092.257001647446
