length_m,euler_load_N,uniform_yield_load_N
0.25,39225.75573168955,82800.00000000001
0.28500000000000003,30182.945315242796,82800.00000000001
0.32,23941.501301080043,82800.00000000001
0.355,19453.360311292177,82800.00000000001
0.39,16118.407187577886,82800.00000000001
0.425,13572.925858716108,82800.00000000001
0.45999999999999996,11586.05734040925,82800.00000000001
0.495,10005.549365291692,82800.00000000001
0.53,8727.695739517965,82800.00000000001
0.565,7679.880126025835,82800.00000000001
0.6,6810.027036751658,82800.00000000001
0.635,6080.0042984204765,82800.00000000001
0.6699999999999999,5461.3716489877415,82800.00000000001
0.7050000000000001,4932.56824753402,82800.00000000001
0.74,4477.008278361207,82800.00000000001
0.775,4081.764384150837,82800.00000000001
0.81,3736.6403493836247,82800.00000000001
0.845,3433.506856525468,82800.00000000001
0.88,3165.8183538618246,82800.00000000001
0.915,2928.256720989694,82800.00000000001
0.95,2716.4650783718525,82800.00000000001
0.985,2526.8465904615905,82800.00000000001
1.02,2356.410739360435,82800.00000000001
1.0550000000000002,2202.6546872088193,82800.00000000001
1.0899999999999999,2063.4708637577623,82800.00000000001
1.125,1937.0743571204714,82800.00000000001
1.1600000000000001,1821.9454022225,82800.00000000001
1.1949999999999998,1716.783482943644,82800.00000000001
1.23,1620.4704430105076,82800.00000000001
1.265,1532.0406400541156,82800.00000000001
1.3,1450.6566468820097,82800.00000000001
1.335,1375.5893522033396,82800.00000000001
1.37,1306.2015734618767,82800.00000000001
1.405,1241.9344908147548,82800.00000000001
1.44,1182.2963605471627,82800.00000000001
1.475,1126.8530804851923,82800.00000000001
1.51,1075.2202680718376,82800.00000000001
1.545,1027.0565801491803,82800.00000000001
1.58,982.0580568941662,82800.00000000001
1.615,939.9533143155198,82800.00000000001
1.65,900.4994428762524,82800.00000000001
1.685,863.4784961496874,82800.00000000001
1.72,828.6944744559887,82800.00000000001
1.755,795.9707253124884,82800.00000000001
1.79,765.1476961488708,82800.00000000001
1.825,736.0809857701172,82800.00000000001
1.86,708.6396500261869,82800.00000000001
1.895,682.704724481338,82800.00000000001
1.93,658.1679328923184,82800.00000000001
1.965,634.930555259172,82800.00000000001
2.0,612.9024333076492,82800.00000000001
