crack_mm,elapsed_cycles,Kmax_MPa_sqrt_m
1.0,-0.0,4.3943131136559765
1.04,1255958.299867289,4.481337663073699
1.08,2441478.476823938,4.566704146331005
1.12,3562907.567678667,4.6505038726734504
1.16,4625819.73949684,4.732820066237962
1.2000000000000002,5635133.227105633,4.813728834180283
1.24,6595206.348343941,4.893299990666075
1.28,7509916.881839757,4.971597762116981
1.32,8382728.110481666,5.048681393980069
1.36,9216744.099456029,5.124605675323175
1.4,10014756.223105216,5.19942139446193
1.44,10779282.532160025,5.273175736387173
1.48,11512601.227997089,5.345912630828936
1.52,12216779.258850042,5.417673058250221
1.5600000000000003,12893696.856413865,5.488495319823482
1.5999999999999999,13545068.676820824,5.5584152764397
1.64,14172462.087733041,5.627466560983919
1.6800000000000002,14777313.045955574,5.695680767443531
1.7200000000000002,15360939.931991484,5.763087619866636
1.7599999999999998,15924555.645132607,5.829715123734095
1.8,16469278.211788395,5.895589701932114
1.84,16996140.11832055,5.960736317197897
1.88,17506096.5457524,6.025178582647647
1.9200000000000002,18000032.655857995,6.0889388617746745
1.96,18478770.055131476,6.152038359118368
2.0,18943072.544063836,6.214497202646227
2.04,19393651.243276063,6.276334518756289
2.08,19831169.17478753,6.337568500692177
2.1200000000000006,20256245.365567546,6.398216471064389
2.16,20669458.53114705,6.4582949390867554
2.1999999999999997,21071350.389151853,6.517819653064017
2.2399999999999998,21462428.645910293,6.5768056486033935
2.28,21843169.69358424,6.635267292968344
2.32,22214021.050408646,6.693218325945256
2.3600000000000003,22575403.572464224,6.750671897552373
2.4000000000000004,22927713.46183987,6.8076406028841845
2.4400000000000004,23271324.09297208,6.864136514352791
2.48,23606587.676302414,6.920171211560104
2.5199999999999996,23933836.776105832,6.975755809010174
2.5599999999999996,24253385.69736006,7.0309009818495625
2.6,24565531.754803367,7.0856169898045644
2.64,24870556.43582852,7.139913699467316
2.68,25168726.467551645,7.193800605067881
2.72,25460294.797250297,7.2472868478561665
2.76,25745501.494361706,7.300381234205712
2.8,26024574.581351716,7.353092252540892
2.84,26297730.799989417,7.405428089179641
2.88,26565176.31887989,7.457396643175471
2.92,26827107.387503542,7.509005540234922
2.96,27083710.941477157,7.560262145779913
3.0,27335165.16327843,7.611173577218342
